Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
36500,339584,191047,29686,49491,46013,19237,26586,169291483,116650,87785,10726,71443540,70298,54440194,32537,88353375,38894,48482769,8533,55645557,27293263
36750,436435,189964,29233,45769,38668,20201,28006,162479222,82051,91987,10692,74699455,63640,55900520,27342,87083814,38183,48627571,9783,51656858,27651485
37000,349359,189072,29542,46086,40850,19788,27842,159729982,91057,90513,10811,78221390,65786,55743785,23542,89052669,37156,49022842,8876,51292183,27856882
37250,317995,190890,29909,44678,39223,20428,27020,161205611,90865,80785,10903,83406033,66410,55845610,36845,87466730,36914,49193437,10235,51563436,27845235
37500,302044,218252,29794,45176,38457,20359,27131,169763849,84775,84431,10704,80451803,54256,56071018,32090,89592541,38438,49608098,10650,51981298,28287822
37750,287676,175183,32479,44333,39932,18984,24511,168241083,122999,82839,10804,82525278,51007,57367692,32017,90461285,37295,53083125,9509,52446801,28293922
38000,293807,174059,29577,47184,41579,21503,26368,171742699,141618,84709,10694,79333868,62470,63265872,31728,94293897,37068,50596182,9279,52575579,28386093
38250,292790,172594,29750,45798,38769,19705,26079,184439313,139874,82211,10740,76399990,55995,58523878,31368,99337780,38905,51414082,10100,52950516,28475282
38500,291197,175316,30409,46400,41285,19709,24832,177044436,147847,79681,11103,79063103,60740,59518389,32455,94242304,38400,52241448,10055,53739305,29063045
38750,287523,172564,29324,46607,39211,19240,26543,174060408,140750,82760,10695,81147177,66201,58605424,32824,95034374,37038,54650602,8237,53579967,29062375
39000,298811,175331,30166,49020,37338,20339,25822,176862013,154780,81764,10773,92725496,61310,62654608,32982,96012356,38674,52381900,9321,55750694,30136890
39250,278253,176127,29388,47653,38219,20278,25195,179397851,155190,82838,10818,86494586,60443,62576323,34057,100609807,38325,53451329,9598,54216168,34760237
39500,276424,177886,29808,56892,39664,19428,26323,179335075,149494,86872,10777,88441081,60410,61868255,35383,101305116,42923,54181074,8678,55461126,30161281
39750,277228,179789,30006,54304,39984,19568,27950,179391145,162903,86230,13043,105291927,58490,63457248,33736,99609569,39990,54656254,9227,54886023,30398453
40000,272346,175651,29016,54028,38457,19944,26595,183282581,154022,96817,14052,85544029,64744,64583827,34403,99006853,34996,55216770,8766,55603677,31068129
40250,330157,181764,29700,55561,37895,19417,27305,182492923,148993,82905,13234,87657790,57817,65258889,33742,100462482,38164,55453239,10068,56428133,31368977
40500,318268,181916,29670,46024,37963,19628,28033,182098423,161659,84547,11261,90606956,60827,65337566,32089,101070944,38841,56680987,8192,57379168,32232763
40750,333609,178709,29659,46673,39070,21589,26837,192156886,177186,83628,10961,91733330,57847,66884746,25027,101828266,57449,61233374,9419,57245840,33164974
41000,352239,193521,29597,53174,42375,20034,25091,185924870,140653,81114,10908,92287864,58067,68466458,24894,106766727,39807,57871109,9911,58017605,32961053
41250,355112,180159,30045,53362,45106,20156,26934,187303516,142945,85779,13707,93858174,69543,68236623,26454,103864119,38390,60629900,9111,64904274,33034165
41500,373714,188250,29942,48111,39006,23011,24644,190691659,137173,83345,15570,92547669,70887,69326096,25220,104911825,37148,59167205,9181,60288613,33635574
41750,419509,181181,29872,58899,42054,22425,23930,192964838,132964,90255,11617,92657598,62756,76115853,22200,108353762,39513,59485228,8170,61531157,34097137
42000,341497,179459,29858,51917,39732,21773,24450,193383404,132542,80270,10864,92708068,63145,71536008,23801,108137470,38744,60445486,10216,61470114,34114560
42250,342405,202463,29292,46226,42515,20528,26010,200131437,132747,85493,11989,97019961,62776,72038882,22702,109628972,37027,60935215,9047,61637169,34695592
42500,322202,187814,29699,48624,43921,46586,25959,194982782,147534,111899,12886,100682339,75251,74714515,23642,110375015,38776,62034168,9753,62235099,35599995
42750,368867,182113,29290,49757,45964,20619,26233,195862792,128788,97651,10945,99303908,81652,77543012,25016,110101919,46256,61575139,10175,62574504,36213974
43000,386874,188823,29100,44636,43008,15991,26781,197289927,143669,91207,12497,101819778,58417,76025010,24011,111216211,38783,62452140,9189,63620829,35733651
43250,335522,181531,29424,57368,41923,17960,25928,200835379,141597,79331,15985,94870122,55781,72881539,23479,111513698,36561,63003329,10913,63981544,35932910
43500,307320,184860,29069,57823,40130,19921,25708,204863241,141499,77393,17097,94822099,58080,78860747,24529,112284554,38532,63444768,9399,64568464,40080799
43750,302872,183229,29724,51402,40150,20523,26321,199942321,139492,82296,16898,93277980,58736,82818255,25115,118797282,37845,65866020,11395,65221480,36578957
44000,298268,184093,29419,48159,41175,20901,26874,201880321,144334,83739,16975,149229912,64028,82847144,26165,117428398,36576,64468770,8773,66668547,37407343
44250,299350,183946,29560,47904,41956,19783,25767,205868269,139321,81702,16897,93902941,68227,82220461,34948,116117901,39051,65511811,9284,66994229,38817679
44500,284927,181706,29778,56821,40694,14960,25516,208422943,142451,76864,18240,95314847,66064,83224967,39355,118867687,37659,65339928,8932,67849254,39244995
44750,288350,189801,29744,62390,42303,15384,25481,210904833,202673,81391,16956,96070814,60201,83822933,43558,118271813,38224,71017782,8967,68199563,39016964
45000,284555,185523,30292,60473,39730,15427,24974,208919740,153732,109379,12299,95499385,56254,89128928,38937,125044584,47802,66754014,9349,73887780,39357745
